Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
BIOCARTA	h_hcmvPathway:Human Cytomegalovirus and Map Kinase Pathways	2	7.142857142857142	0.03107635993304943	MAP2K1, CREB1	4	17	1625	47.794117647058826	0.8346118199836089	0.8346118199836089	26.869382548603948
UP_KEYWORDS	Methylation	5	17.857142857142858	0.031139423447706767	RAB11A, HIST2H4A, PPP4C, DIDO1, HIST2H4B	26	1001	20581	3.9539306846999156	0.9563617651915133	0.5429467581603762	29.563482330733283
GOTERM_BP_DIRECT	GO:0016233~telomere capping	2	7.142857142857142	0.03370924056270157	HIST2H4A, HIST2H4B	26	23	16792	56.16053511705686	0.9998459706199628	0.9463955074450886	36.053806236067864
UP_SEQ_FEATURE	binding site:NADP	2	7.142857142857142	0.03553716014931816	NMRAL1, IDH1	26	29	20063	53.21750663129974	0.9759338611299718	0.711285360196549	33.225765230239254
BIOCARTA	h_arenrf2Pathway:Oxidative Stress Induced Gene Expression Via Nrf2	2	7.142857142857142	0.036492692087035684	HMOX2, CREB1	4	20	1625	40.625	0.879846689580956	0.6533686245894005	30.82206534720029
GOTERM_CC_DIRECT	GO:0030424~axon	3	10.714285714285714	0.03687721557864726	ADCY9, CREB1, RAB11A	26	222	18224	9.471933471933472	0.9097128283436636	0.699521761759131	31.731329896263272
GOTERM_BP_DIRECT	GO:0006336~DNA replication-independent nucleosome assembly	2	7.142857142857142	0.03802483038099416	HIST2H4A, HIST2H4B	26	26	16792	49.680473372781066	0.99995102789968	0.9163459093531073	39.67927757014416
GOTERM_BP_DIRECT	GO:0032200~telomere organization	2	7.142857142857142	0.03945924402926787	HIST2H4A, HIST2H4B	26	27	16792	47.840455840455846	0.9999665771113319	0.8727057471120399	40.84163845933131
KEGG_PATHWAY	hsa04022:cGMP-PKG signaling pathway	3	10.714285714285714	0.045256392727156626	ADCY9, MAP2K1, CREB1	16	158	6879	8.163370253164556	0.9955664580937368	0.5946858152593891	41.09226095918152
GOTERM_BP_DIRECT	GO:0003091~renal water homeostasis	2	7.142857142857142	0.0466005669600162	ADCY9, RAB11A	26	32	16792	40.36538461538462	0.999995052661022	0.8694645077180527	46.326911746194334
GOTERM_BP_DIRECT	GO:0006335~DNA replication-dependent nucleosome assembly	2	7.142857142857142	0.0466005669600162	HIST2H4A, HIST2H4B	26	32	16792	40.36538461538462	0.999995052661022	0.8694645077180527	46.326911746194334
GOTERM_BP_DIRECT	GO:0006352~DNA-templated transcription, initiation	2	7.142857142857142	0.052276899355051205	HIST2H4A, HIST2H4B	26	36	16792	35.88034188034189	0.9999989273563696	0.8596514524304317	50.34764432967217
GOTERM_BP_DIRECT	GO:0000183~chromatin silencing at rDNA	2	7.142857142857142	0.0536909049360402	HIST2H4A, HIST2H4B	26	37	16792	34.91060291060291	0.9999992681002079	0.8289762389367046	51.304995120787176
GOTERM_BP_DIRECT	GO:0051290~protein heterotetramerization	2	7.142857142857142	0.06073060690079067	HIST2H4A, HIST2H4B	26	42	16792	30.754578754578755	0.9999998917859375	0.831720380109946	55.822654460862175
BIOCARTA	h_gpcrPathway:Signaling Pathway from G-Protein Families	2	7.142857142857142	0.06150213035107669	MAP2K1, CREB1	4	34	1625	23.897058823529413	0.9731652474871555	0.7006132805861565	46.69681596941111
UP_KEYWORDS	Chromosomal rearrangement	3	10.714285714285714	0.06165833453196386	CREB1, HIST2H4A, HIST2H4B	26	334	20581	7.109972362966375	0.998164564677173	0.7163728395096469	50.591024956254294
GOTERM_BP_DIRECT	GO:0034080~CENP-A containing nucleosome assembly	2	7.142857142857142	0.06213250151606852	HIST2H4A, HIST2H4B	26	43	16792	30.039355992844364	0.9999999261721266	0.8064371375811712	56.674743552305074
GOTERM_BP_DIRECT	GO:1904837~beta-catenin-TCF complex assembly	2	7.142857142857142	0.06213250151606852	HIST2H4A, HIST2H4B	26	43	16792	30.039355992844364	0.9999999261721266	0.8064371375811712	56.674743552305074
KEGG_PATHWAY	hsa04024:cAMP signaling pathway	3	10.714285714285714	0.06769696339245208	ADCY9, MAP2K1, CREB1	16	198	6879	6.514204545454546	0.9997257285796771	0.690137763770561	55.111138524334294
GOTERM_CC_DIRECT	GO:0000228~nuclear chromosome	2	7.142857142857142	0.07026930387309434	HIST2H4A, HIST2H4B	26	53	18224	26.44992743105951	0.9905624584795775	0.788673987497253	52.297680292300505
GOTERM_BP_DIRECT	GO:0045814~negative regulation of gene expression, epigenetic	2	7.142857142857142	0.07188967153104847	HIST2H4A, HIST2H4B	26	50	16792	25.833846153846153	0.9999999949242635	0.823820870058155	62.197748927726316
KEGG_PATHWAY	hsa05203:Viral carcinogenesis	3	10.714285714285714	0.07195035098507974	CREB1, HIST2H4A, HIST2H4B	16	205	6879	6.291768292682927	0.9998393681479276	0.6644718530468707	57.39638251709276
KEGG_PATHWAY	hsa04015:Rap1 signaling pathway	3	10.714285714285714	0.07504283967150871	ADCY9, MAP2K1, ANGPT1	16	210	6879	6.141964285714286	0.9998913000383854	0.6372720316376987	58.99069152865945
GOTERM_MF_DIRECT	GO:0003705~transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding	2	7.142857142857142	0.08621385210698176	TFAP4, CREB1	24	66	16881	21.314393939393938	0.999437530038634	0.999437530038634	61.91992728268516
UP_SEQ_FEATURE	nucleotide phosphate-binding region:NADP	2	7.142857142857142	0.08829190608400427	NMRAL1, IDH1	26	74	20063	20.85550935550936	0.9999266924899557	0.9074690295210366	64.35925501597606
GOTERM_BP_DIRECT	GO:0045815~positive regulation of gene expression, epigenetic	2	7.142857142857142	0.08838995374372381	HIST2H4A, HIST2H4B	26	62	16792	20.833746898263026	0.9999999999485802	0.861134555387411	70.08189909629965
GOTERM_BP_DIRECT	GO:0006303~double-strand break repair via nonhomologous end joining	2	7.142857142857142	0.08975219230490811	HIST2H4A, HIST2H4B	26	63	16792	20.503052503052505	0.9999999999649355	0.8430508035441012	70.65964067779174
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	10	35.714285714285715	0.09087885956280037	HMOX2, TAS2R4, ADCY9, MAP2K1, CD46, TMEM219, RAB11A, ANGPT1, PPP4C, OR8G1	26	4121	18224	1.7008567748679373	0.997752020027644	0.7822550410221742	62.012813192328366
GOTERM_CC_DIRECT	GO:0005634~nucleus	12	42.857142857142854	0.09213382277637652	TFAP4, MAP2K1, NAA20, CREB1, NMRAL1, OGFR, INO80E, HIST2H4A, PPP4C, DIDO1, HIST2H4B, MVP	26	5415	18224	1.5532921372256554	0.9979422266151933	0.7098119600131299	62.54217774295658
KEGG_PATHWAY	hsa04961:Endocrine and other factor-regulated calcium reabsorption	2	7.142857142857142	0.09384756170072266	ADCY9, RAB11A	16	45	6879	19.10833333333333	0.9999901701290215	0.684314392907909	67.56959552017479
