Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	6	6.976744186046512	0.017181804063402834	DCAF6, MAP2K1, CD46, ARPC5L, GNA12, SLC9A1	71	391	18224	3.9387630128597673	0.903643628396591	0.44285259834392277	18.387277734805828
KEGG_PATHWAY	hsa04024:cAMP signaling pathway	5	5.813953488372093	0.01735650722918343	ADCY9, MAP2K1, CREB1, PIK3CD, SLC9A1	36	198	6879	4.825336700336701	0.9301463113648073	0.28299255030127135	18.90625039500836
KEGG_PATHWAY	hsa05205:Proteoglycans in cancer	5	5.813953488372093	0.01794508750785264	WNT3, TFAP4, MAP2K1, PIK3CD, SLC9A1	36	200	6879	4.777083333333334	0.9362269173540957	0.26348442630093505	19.485718327451153
KEGG_PATHWAY	hsa04725:Cholinergic synapse	4	4.651162790697675	0.018398756674704454	ADCY9, MAP2K1, CREB1, PIK3CD	36	111	6879	6.8858858858858865	0.940552284340398	0.24592678088924713	19.929771395552955
KEGG_PATHWAY	hsa04962:Vasopressin-regulated water reabsorption	3	3.488372093023256	0.020814341058144562	ADCY9, CREB1, RAB11A	36	44	6879	13.02840909090909	0.9591222747419711	0.252224003870848	22.25659565045033
KEGG_PATHWAY	hsa04810:Regulation of actin cytoskeleton	5	5.813953488372093	0.021076148059951432	MAP2K1, ARPC5L, PIK3CD, GNA12, SLC9A1	36	210	6879	4.549603174603175	0.9607504768564082	0.2364815569355455	22.505024207434545
GOTERM_CC_DIRECT	GO:0031265~CD95 death-inducing signaling complex	2	2.3255813953488373	0.022829454707857962	CFLAR, CASP10	71	6	18224	85.55868544600939	0.9557412005467392	0.463956633706089	23.719149625373635
GOTERM_BP_DIRECT	GO:0014842~regulation of skeletal muscle satellite cell proliferation	2	2.3255813953488373	0.02370593151997436	CFLAR, ANGPT1	68	6	16792	82.31372549019608	0.9999978527925564	0.9985346647333749	29.501726568169218
INTERPRO	IPR001875:Death effector domain	2	2.3255813953488373	0.02610957983690783	CFLAR, CASP10	71	7	18559	74.6841046277666	0.9923112229613769	0.9923112229613769	27.89690081625451
GOTERM_CC_DIRECT	GO:0097342~ripoptosome	2	2.3255813953488373	0.026584089582509445	CFLAR, CASP10	71	7	18224	73.33601609657947	0.973679783048885	0.4546002798184511	27.08542622464385
SMART	SM00031:DED	2	2.3255813953488373	0.026839419714881216	CFLAR, CASP10	40	7	10057	71.83571428571429	0.7363420166332495	0.7363420166332495	22.960500972161803
UP_KEYWORDS	Cytoplasm	26	30.23255813953488	0.027469041805473764	CYTH1, DIDO1, EIF3B, NMRAL1, PTK6, IDH1, PPP4C, RASA2, NUDT1, TTC7A, MAP2K1, NBPF10, FSCN1, NBPF11, PIK3CD, UBE4B, TAX1BP3, NAA20, ARPC5L, PCMTD2, OGFR, SPATS2L, SH3BGRL3, TREML1, FAM126B, MVP	75	4816	20581	1.481467331118494	0.9880698430848333	0.9880698430848333	28.535251089858747
KEGG_PATHWAY	hsa04380:Osteoclast differentiation	4	4.651162790697675	0.028350581725207546	MAP2K1, SOCS3, CREB1, PIK3CD	36	131	6879	5.834605597964376	0.9873683978284352	0.2855722067587516	29.12352274608735
UP_SEQ_FEATURE	chain:Neuroblastoma breakpoint family member 12	2	2.3255813953488373	0.028745254422269873	NBPF10, NBPF11	74	8	20063	67.78040540540542	0.9997815855109051	0.9397772640729698	32.12698218634681
UP_SEQ_FEATURE	chain:Neuroblastoma breakpoint family member 14	2	2.3255813953488373	0.028745254422269873	NBPF10, NBPF11	74	8	20063	67.78040540540542	0.9997815855109051	0.9397772640729698	32.12698218634681
UP_SEQ_FEATURE	chain:Neuroblastoma breakpoint family member 1	2	2.3255813953488373	0.028745254422269873	NBPF10, NBPF11	74	8	20063	67.78040540540542	0.9997815855109051	0.9397772640729698	32.12698218634681
UP_SEQ_FEATURE	chain:Neuroblastoma breakpoint family member 8	2	2.3255813953488373	0.028745254422269873	NBPF10, NBPF11	74	8	20063	67.78040540540542	0.9997815855109051	0.9397772640729698	32.12698218634681
UP_SEQ_FEATURE	domain:NBPF 6	2	2.3255813953488373	0.028745254422269873	NBPF10, NBPF11	74	8	20063	67.78040540540542	0.9997815855109051	0.9397772640729698	32.12698218634681
UP_SEQ_FEATURE	domain:NBPF 9	2	2.3255813953488373	0.028745254422269873	NBPF10, NBPF11	74	8	20063	67.78040540540542	0.9997815855109051	0.9397772640729698	32.12698218634681
UP_SEQ_FEATURE	domain:NBPF 10	2	2.3255813953488373	0.028745254422269873	NBPF10, NBPF11	74	8	20063	67.78040540540542	0.9997815855109051	0.9397772640729698	32.12698218634681
UP_SEQ_FEATURE	chain:Neuroblastoma breakpoint family member 11	2	2.3255813953488373	0.028745254422269873	NBPF10, NBPF11	74	8	20063	67.78040540540542	0.9997815855109051	0.9397772640729698	32.12698218634681
UP_SEQ_FEATURE	chain:Neuroblastoma breakpoint family member 9	2	2.3255813953488373	0.028745254422269873	NBPF10, NBPF11	74	8	20063	67.78040540540542	0.9997815855109051	0.9397772640729698	32.12698218634681
UP_SEQ_FEATURE	domain:NBPF 8	2	2.3255813953488373	0.028745254422269873	NBPF10, NBPF11	74	8	20063	67.78040540540542	0.9997815855109051	0.9397772640729698	32.12698218634681
UP_SEQ_FEATURE	domain:NBPF 7	2	2.3255813953488373	0.028745254422269873	NBPF10, NBPF11	74	8	20063	67.78040540540542	0.9997815855109051	0.9397772640729698	32.12698218634681
UP_SEQ_FEATURE	chain:Neuroblastoma breakpoint family member 15	2	2.3255813953488373	0.028745254422269873	NBPF10, NBPF11	74	8	20063	67.78040540540542	0.9997815855109051	0.9397772640729698	32.12698218634681
UP_SEQ_FEATURE	chain:Neuroblastoma breakpoint family member 10	2	2.3255813953488373	0.028745254422269873	NBPF10, NBPF11	74	8	20063	67.78040540540542	0.9997815855109051	0.9397772640729698	32.12698218634681
UP_SEQ_FEATURE	chain:Neuroblastoma breakpoint family member 20	2	2.3255813953488373	0.028745254422269873	NBPF10, NBPF11	74	8	20063	67.78040540540542	0.9997815855109051	0.9397772640729698	32.12698218634681
GOTERM_CC_DIRECT	GO:0005622~intracellular	11	12.790697674418606	0.030287390648946203	IFNL2, ADCY9, NAA20, SOCS3, PIK3CD, RAB11A, ANGPT1, TAX1BP3, SYTL1, FAM126B, RASA2	71	1332	18224	2.1196971619506826	0.984267027418727	0.44741188385321584	30.27204242868131
UP_KEYWORDS	Acetylation	20	23.25581395348837	0.03140793926994403	MAP2K1, CYTH1, FSCN1, UBE4B, TAX1BP3, HIST2H4A, SYNGR2, DIDO1, HIST2H4B, HMOX2, EIF3B, HIST2H2AC, RAB11A, IDH1, OGFR, SPATS2L, SH3BGRL3, PPP4C, RASA2, MVP	75	3424	20581	1.6028816199376947	0.9937424563865752	0.9208953628829205	31.94934205989568
GOTERM_BP_DIRECT	GO:0043065~positive regulation of apoptotic process	5	5.813953488372093	0.03180288148771933	TFAP4, APH1A, CREB1, ADAMTSL4, SLC9A1	68	300	16792	4.115686274509804	0.9999999768634037	0.9971505142508309	37.55801054991195
UP_SEQ_FEATURE	domain:NBPF 5	2	2.3255813953488373	0.03228061201070218	NBPF10, NBPF11	74	9	20063	60.24924924924925	0.9999238642257091	0.9065891783470844	35.33718968974689
UP_SEQ_FEATURE	domain:NBPF 4	2	2.3255813953488373	0.03228061201070218	NBPF10, NBPF11	74	9	20063	60.24924924924925	0.9999238642257091	0.9065891783470844	35.33718968974689
GOTERM_BP_DIRECT	GO:0097190~apoptotic signaling pathway	3	3.488372093023256	0.03266440113734759	TNFRSF6B, CASP10, DIDO1	68	71	16792	10.43413421706711	0.9999999857445556	0.9890731447505294	38.36274112170798
GOTERM_BP_DIRECT	GO:0043066~negative regulation of apoptotic process	6	6.976744186046512	0.035020118626920976	TNFRSF6B, CFLAR, PRLR, SOCS3, ANGPT1, SLC9A1	68	455	16792	3.2563671622495156	0.9999999962161591	0.9793182838792883	40.51413296455845
KEGG_PATHWAY	hsa04630:Jak-STAT signaling pathway	4	4.651162790697675	0.036724701246282646	IFNL2, PRLR, SOCS3, PIK3CD	36	145	6879	5.271264367816092	0.9966110557736233	0.33384386776034014	36.09886996922217
KEGG_PATHWAY	hsa05166:HTLV-I infection	5	5.813953488372093	0.03874244667092361	WNT3, EGR2, ADCY9, CREB1, PIK3CD	36	254	6879	3.761482939632546	0.9975359793601483	0.3299462798293782	37.68266797661156
GOTERM_BP_DIRECT	GO:0060674~placenta blood vessel development	2	2.3255813953488373	0.03920143764188404	MAP2K1, SOCS3	68	10	16792	49.38823529411764	0.9999999996435526	0.9733723663289131	44.16147678209349
KEGG_PATHWAY	hsa04210:Apoptosis	3	3.488372093023256	0.03930964544647403	CFLAR, CASP10, PIK3CD	36	62	6879	9.245967741935482	0.997747413827166	0.31680828923918347	38.121358141645715
UP_SEQ_FEATURE	domain:NBPF 3	2	2.3255813953488373	0.03931329307786363	NBPF10, NBPF11	74	11	20063	49.2948402948403	0.9999907501472256	0.9015474511628074	41.309710203702274
UP_KEYWORDS	Nucleosome core	3	3.488372093023256	0.04085493825469047	HIST2H2AC, HIST2H4A, HIST2H4B	75	89	20581	9.249887640449439	0.9986829479902596	0.8903855922253275	39.53705091266521
UP_SEQ_FEATURE	domain:NBPF 2	2	2.3255813953488373	0.04281070628419967	NBPF10, NBPF11	74	12	20063	45.18693693693694	0.9999967761595272	0.8784572876434084	44.08600593092851
UP_SEQ_FEATURE	domain:NBPF 1	2	2.3255813953488373	0.04281070628419967	NBPF10, NBPF11	74	12	20063	45.18693693693694	0.9999967761595272	0.8784572876434084	44.08600593092851
GOTERM_BP_DIRECT	GO:0061099~negative regulation of protein tyrosine kinase activity	2	2.3255813953488373	0.04303730366654906	PTK6, MVP	68	11	16792	44.898395721925134	0.9999999999595531	0.9672456300205299	47.323245859013
UP_KEYWORDS	Apoptosis	6	6.976744186046512	0.043734061229722496	TNFRSF6B, CFLAR, CASP10, ADAMTSL4, TMEM219, DIDO1	75	536	20581	3.0717910447761194	0.9991833965315448	0.8309548149969503	41.690254086345
KEGG_PATHWAY	hsa04022:cGMP-PKG signaling pathway	4	4.651162790697675	0.045523998753161106	ADCY9, MAP2K1, CREB1, GNA12	36	158	6879	4.837552742616034	0.9991599947279148	0.34071163348575884	42.74583448142108
GOTERM_BP_DIRECT	GO:0007171~activation of transmembrane receptor protein tyrosine kinase activity	2	2.3255813953488373	0.04685808315924303	PRLR, ANGPT1	68	12	16792	41.15686274509804	0.999999999995411	0.9617426658979268	50.306157668520825
UP_KEYWORDS	Citrullination	3	3.488372093023256	0.04769749634924949	HIST2H2AC, HIST2H4A, HIST2H4B	75	97	20581	8.48701030927835	0.999578096379682	0.7886303392256558	44.53943602899161
GOTERM_BP_DIRECT	GO:0006508~proteolysis	6	6.976744186046512	0.049129650922451876	CFLAR, CASP10, IGHV4-39, CD46, ADAMTSL4, PRSS37	68	500	16792	2.963294117647059	0.9999999999987469	0.9524057554583134	52.004219828212264
SMART	SM00115:CASc	2	2.3255813953488373	0.04928492516735368	CFLAR, CASP10	40	13	10057	38.680769230769236	0.9159633690036904	0.7101092774918287	38.40467470085276
UP_SEQ_FEATURE	chain:Histone H4	2	2.3255813953488373	0.049767901182069904	HIST2H4A, HIST2H4B	74	14	20063	38.731660231660236	0.9999996084543784	0.8784700844891631	49.251187364159364
GOTERM_CC_DIRECT	GO:0000786~nucleosome	3	3.488372093023256	0.05069843659930592	HIST2H2AC, HIST2H4A, HIST2H4B	71	94	18224	8.19178903206473	0.9991096382896105	0.5843806016031919	45.663281192807105
INTERPRO	IPR019809:Histone H4, conserved site	2	2.3255813953488373	0.051546936955779395	HIST2H4A, HIST2H4B	71	14	18559	37.3420523138833	0.9999409914162322	0.9923182955167604	48.01785960569197
INTERPRO	IPR015917:Peptidase C14, caspase precursor p45, core	2	2.3255813953488373	0.051546936955779395	CFLAR, CASP10	71	14	18559	37.3420523138833	0.9999409914162322	0.9923182955167604	48.01785960569197
INTERPRO	IPR001951:Histone H4	2	2.3255813953488373	0.05512697008662164	HIST2H4A, HIST2H4B	71	15	18559	34.85258215962442	0.999970575077916	0.9691275018097228	50.39221872504154
INTERPRO	IPR001309:Peptidase C14, ICE, catalytic subunit p20	2	2.3255813953488373	0.05512697008662164	CFLAR, CASP10	71	15	18559	34.85258215962442	0.999970575077916	0.9691275018097228	50.39221872504154
SMART	SM00417:H4	2	2.3255813953488373	0.05665404933319421	HIST2H4A, HIST2H4B	40	15	10057	33.52333333333333	0.9426044147149695	0.6142616400631651	42.8328865326168
INTERPRO	IPR004823:TATA box binding protein associated factor (TAF)	2	2.3255813953488373	0.05869368234140037	HIST2H4A, HIST2H4B	71	16	18559	32.67429577464789	0.9999853276687092	0.9381093874403766	52.65824515365174
GOTERM_MF_DIRECT	GO:0002020~protease binding	3	3.488372093023256	0.05938132504398274	CFLAR, ADAMTSL4, TIMP2	67	101	16881	7.4838185311068415	0.9999658426408954	0.9999658426408954	52.5432005377747
SMART	SM00803:TAF	2	2.3255813953488373	0.060317711159158724	HIST2H4A, HIST2H4B	40	16	10057	31.428125	0.9525680449754704	0.5333215396542376	44.9264470711816
UP_SEQ_FEATURE	cross-link:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin); alternate	2	2.3255813953488373	0.06353300469730806	HIST2H4A, HIST2H4B	74	18	20063	30.124624624624627	0.999999994228011	0.9066389586207126	58.19540667629855
INTERPRO	IPR010630:Neuroblastoma breakpoint family (NBPF) domain	2	2.3255813953488373	0.06578733945638615	NBPF10, NBPF11	71	18	18559	29.043818466353677	0.9999963523115226	0.9182658504231653	56.8848245272539
INTERPRO	IPR009072:Histone-fold	3	3.488372093023256	0.0668753639443429	HIST2H2AC, HIST2H4A, HIST2H4B	71	112	18559	7.001634808853119	0.9999970562790035	0.8802847598886163	57.501510766867725
SMART	SM01148:SM01148	2	2.3255813953488373	0.06760349070733128	NBPF10, NBPF11	40	18	10057	27.93611111111111	0.967608481499543	0.49639937362901654	48.88693720800135
KEGG_PATHWAY	hsa04666:Fc gamma R-mediated phagocytosis	3	3.488372093023256	0.06763720438384822	MAP2K1, ARPC5L, PIK3CD	36	84	6879	6.824404761904762	0.9999761817318514	0.4464438544005206	56.75244503281909
GOTERM_BP_DIRECT	GO:0045653~negative regulation of megakaryocyte differentiation	2	2.3255813953488373	0.06946919994635319	HIST2H4A, HIST2H4B	68	18	16792	27.437908496732028	1.0	0.980095423485857	64.97547519963608
GOTERM_BP_DIRECT	GO:0006979~response to oxidative stress	3	3.488372093023256	0.07143011220622456	HMOX2, NUDT1, IDH1	68	110	16792	6.734759358288771	1.0	0.9743973172321171	66.03568736164844
KEGG_PATHWAY	hsa04914:Progesterone-mediated oocyte maturation	3	3.488372093023256	0.07190828970235427	ADCY9, MAP2K1, PIK3CD	36	87	6879	6.5890804597701145	0.9999881473400797	0.4495382472997711	59.06499593194159
KEGG_PATHWAY	hsa05215:Prostate cancer	3	3.488372093023256	0.07335140299702421	MAP2K1, CREB1, PIK3CD	36	88	6879	6.514204545454545	0.999990643982516	0.43952718670425295	59.820370852022364
GOTERM_CC_DIRECT	GO:0043234~protein complex	5	5.813953488372093	0.07384185455219688	RAB11A, PRPF3, SPATS2L, HIST2H4A, HIST2H4B	71	412	18224	3.115000683713934	0.9999681950045876	0.6835702852794779	59.31573653459813
GOTERM_BP_DIRECT	GO:0008361~regulation of cell size	2	2.3255813953488373	0.07688817001730912	WDTC1, CREB1	68	20	16792	24.69411764705882	1.0	0.9734011810179871	68.83144210122862
KEGG_PATHWAY	hsa04972:Pancreatic secretion	3	3.488372093023256	0.08070685035342322	ADCY9, RAB11A, SLC9A1	36	93	6879	6.163978494623656	0.9999972138042321	0.4561529912276199	63.47581179849051
GOTERM_MF_DIRECT	GO:0042393~histone binding	3	3.488372093023256	0.08243406101339755	WDTC1, HIST2H4A, HIST2H4B	67	122	16881	6.195620259358943	0.9999994714772747	0.9992730043155553	64.91738731401793
UP_KEYWORDS	Ubl conjugation	11	12.790697674418606	0.08370184736098554	EGR2, HIST2H2AC, CREB1, FSCN1, YPEL3, PRPF3, PRRC2B, HIST2H4A, SLC9A1, HIST2H4B, MVP	75	1705	20581	1.7704086021505379	0.9999990798620444	0.9013776172682115	65.15904727993869
KEGG_PATHWAY	hsa04066:HIF-1 signaling pathway	3	3.488372093023256	0.08522752486617696	MAP2K1, PIK3CD, ANGPT1	36	96	6879	5.971354166666666	0.9999986829888433	0.45960837270184407	65.56852092008934
GOTERM_BP_DIRECT	GO:0010628~positive regulation of gene expression	4	4.651162790697675	0.08701216948986872	WNT3, MAP2K1, CD46, PIK3CD	68	262	16792	3.770094297260889	1.0	0.9778378527485556	73.45816963594734
GOTERM_BP_DIRECT	GO:0016233~telomere capping	2	2.3255813953488373	0.08790750176519223	HIST2H4A, HIST2H4B	68	23	16792	21.47314578005115	1.0	0.9719956692944736	73.83492130013538
KEGG_PATHWAY	hsa04015:Rap1 signaling pathway	4	4.651162790697675	0.08996862944668617	ADCY9, MAP2K1, PIK3CD, ANGPT1	36	210	6879	3.639682539682539	0.999999402184377	0.46368990987532643	67.64473965816077
GOTERM_BP_DIRECT	GO:0048870~cell motility	2	2.3255813953488373	0.09155173799725703	MAP2K1, FSCN1	68	24	16792	20.57843137254902	1.0	0.9692611797931804	75.3175955979145
GOTERM_BP_DIRECT	GO:0045087~innate immune response	5	5.813953488372093	0.09261773357266279	IFNL2, CD46, PTK6, PIK3CD, TREML1	68	430	16792	2.8714090287277703	1.0	0.9632827819624676	75.73627408399051
GOTERM_MF_DIRECT	GO:0051015~actin filament binding	3	3.488372093023256	0.09423375192140178	ARPC5L, FSCN1, RCSD1	67	132	16881	5.726255088195386	0.9999999399227002	0.9960834518658938	70.03240674177769
GOTERM_BP_DIRECT	GO:0046580~negative regulation of Ras protein signal transduction	2	2.3255813953488373	0.09518163026746303	TIMP2, RASA2	68	25	16792	19.755294117647058	1.0	0.959265246611498	76.71633361629686
KEGG_PATHWAY	hsa04151:PI3K-Akt signaling pathway	5	5.813953488372093	0.09606490516683462	PRLR, MAP2K1, CREB1, PIK3CD, ANGPT1	36	345	6879	2.7693236714975846	0.9999997847903732	0.4725241622092119	70.14576456955739
GOTERM_BP_DIRECT	GO:0006336~DNA replication-independent nucleosome assembly	2	2.3255813953488373	0.09879723417448366	HIST2H4A, HIST2H4B	68	26	16792	18.995475113122172	1.0	0.9568842409035792	78.03588250792355
